target_mac,distance_error_tls,distance_error_twcl_dist_3,distance_error_twcl_rssi_7,distance_error_fpl
20f094118214,,790.5240034306358,251.19817691429336,826.501134300492
342eb61ec446,503.288661562287,376.1135443978098,279.7234782777028,543.6406734398943
d81c79de34e1,452.84777733699644,368.45148880341173,277.6423976831066,260.3247971285102
