Timestamp,RSSI
68685841,-54
68686177,-55
68708159,-54
68727380,-57
68739384,-53
68764780,-57
68766537,-55
68811331,-57
68812057,-54
68812784,-54
68813926,-57
68825666,-57
68826199,-54
68849679,-57
68859323,-54
68882513,-54
68885663,-57
68886139,-57
68886474,-54
68892592,-57
68908852,-56
68909513,-57
68910929,-57
68917525,-54
68935185,-61
68935297,-60
68936020,-57
68936743,-61
68937478,-62
68937866,-58
68945665,-55
68978946,-55
68979617,-55
69001418,-54
69001645,-54
69593451,-55
69605652,-52
69606270,-51
69622644,-55
69622747,-51
69635605,-52
69639328,-55
69666146,-51
69666517,-52
69673699,-52
69712998,-50
69725653,-55
69726185,-52
69769509,-54
69770616,-50
69771367,-52
69775498,-50
69785348,-55
69785583,-51
70767776,-53
70770443,-56
70778916,-56
70779287,-53
70805641,-53
70808418,-53
70809879,-53
70810192,-53
70816937,-52
70817072,-52
70817208,-52
70817694,-50
70818283,-52
70818982,-51
70819744,-52
70820441,-51
70867963,-53
70876925,-53
70877160,-53
71720208,-53
71745290,-57
71765624,-51
71766153,-53
71802409,-56
71803492,-53
71804593,-51
71804928,-53
71818577,-56
71818801,-56
71943228,-54
71943571,-53
71959444,-53
71970674,-51
71971422,-56
71972531,-56
71972663,-55
71978903,-56
71979289,-56
71988506,-53
71988638,-52
71988778,-51
72006156,-51
72018236,-54
72021525,-56
72039005,-57
72039226,-54
73164658,-53
73176879,-55
73177351,-53
73179415,-52
73205607,-57
73206151,-53
73232518,-53
73241765,-52
73246956,-53
73247169,-55
73260131,-56
73288059,-51
73288725,-55
73289753,-56
73290102,-53
73299367,-53
73299465,-53
73324628,-53
73326133,-53
73352022,-55
73353130,-53
73353875,-56
73354295,-53
73357957,-55
73359417,-55
73386471,-52
73386676,-51
73397531,-55
73408295,-53
75027214,-53
75027322,-56
75042970,-50
75051699,-51
75074345,-51
75075067,-52
75076712,-52
75099147,-56
75099385,-53
75146179,-53
75151857,-56
75152407,-51
75168382,-53
75174457,-54
75174822,-56
75195890,-51
75196725,-52
75197457,-56
75197799,-52
75231466,-52
75231732,-53
76910957,-53
76913856,-51
76926471,-52
76927278,-51
76928081,-54
76928836,-51
76929591,-52
76946279,-51
76947035,-51
76951912,-54
76953814,-52
76972114,-52
76985529,-53
76986413,-51
76987172,-53
77045942,-54
77046698,-52
77076020,-51
77076778,-53
77106492,-54
77107000,-54
77113950,-53
77166901,-55
77167557,-51
77168221,-56
77169260,-56
77169477,-52
78144601,-54
78144793,-56
78203404,-53
78203637,-54
78345146,-54
78345294,-54
78355989,-57
78356995,-54
78365535,-53
78366160,-53
78392304,-56
78417182,-54
78445285,-56
78445503,-53
78454541,-54
78471779,-53
78485539,-56
78508484,-55
78508701,-53
80003479,-53
80032166,-56
80045518,-56
80046068,-56
80065882,-53
80066101,-54
80423535,-54
80442938,-51
80452059,-52
80469443,-53
80470168,-56
80471267,-57
80471403,-54
80471538,-53
80472024,-58
80472830,-59
80473593,-58
80474355,-58
80475110,-50
80500487,-56
80500696,-54
80800540,-54
80813941,-56
80850217,-56
80851967,-53
83570965,-53
83571628,-53
83617354,-56
83618080,-56
83618814,-52
83619022,-54
86163974,-53
86164164,-53
86165432,-56
86165966,-54
86187071,-53
86211704,-56
86215962,-59
86217405,-56
86218138,-59
86244500,-55
86246353,-56
86246580,-54
86249974,-53
86264968,-52
86285652,-53
86288443,-53
86320626,-52
86320862,-53
86396251,-53
86396462,-53
86405499,-54
86407468,-51
86408227,-51
86428059,-51
86433961,-57
86465906,-56
86466253,-54
86508563,-56
86514052,-56
86525494,-53
86526090,-56
86544627,-57
86545288,-56
86545959,-52
86546297,-53
86554889,-55
86573140,-56
86583738,-53
86585425,-53
86585981,-53
86597131,-56
86597846,-53
86598568,-56
86599479,-53
86614544,-49
86614676,-53
86614812,-53
86669024,-56
86674064,-51
86704790,-53
86707952,-50
86708706,-52
86749808,-53
86751732,-53
86765427,-53
86765963,-52
86785342,-56
86785477,-52
86794986,-53
86795850,-53
86796587,-56
86797332,-53
86814041,-52
86837716,-56
86841332,-53
86841724,-53
86854991,-60
86871604,-52
86881792,-56
86885961,-54
86908394,-53
86910582,-50
86931950,-54
86961757,-56
86962481,-53
86963211,-57
86963548,-54
86970841,-53
86973064,-52
86981939,-53
86990468,-53
87005667,-52
87006025,-53
87065910,-52
87066125,-53
87077552,-53
87077735,-56
87099995,-52
87100654,-55
87101683,-56
87102013,-54
87108073,-52
87111730,-53
87125423,-53
87125972,-53
87148526,-53
87171598,-53
87214664,-53
87214890,-53
87358882,-53
87365415,-53
87366073,-53
87389424,-56
87397242,-51
87462127,-56
87485418,-56
87485950,-56
87504538,-52
87504754,-53
87514603,-54
87516669,-51
87531727,-53
87566671,-53
87592907,-56
87594375,-56
87596193,-53
87596596,-54
87605414,-56
87605946,-56
87622259,-51
87622989,-55
87624106,-54
87624434,-56
87625199,-54
87635052,-56
87648944,-56
87651906,-52
87652269,-56
87662878,-56
87665416,-57
87665888,-51
87666235,-55
87686836,-53
87688869,-53
87694471,-53
87713894,-50
87714649,-50
87725791,-49
87726546,-51
87783127,-56
87785098,-51
87786520,-53
87789436,-50
87837160,-50
87837916,-51
87844073,-53
87847859,-54
87848571,-52
87849150,-52
87898430,-54
87899172,-54
87900285,-57
87900718,-53
87910790,-57
87911155,-53
87929978,-50
87930556,-53
87937509,-55
87951723,-56
87963536,-54
87969055,-54
87969774,-56
87970506,-53
87971434,-53
87992517,-54
88008375,-56
88025880,-56
88027894,-50
88032138,-53
88085416,-56
88086012,-53
88091428,-52
88117801,-51
88134410,-59
88150214,-53
88152216,-53
88168139,-53
88174516,-53
88174683,-53
88175791,-54
88176908,-56
88177646,-52
88185284,-55
88189881,-50
88193999,-50
88205789,-50
88206544,-51
88231452,-51
88239296,-56
88265996,-52
88266328,-54
