Timestamp,RSSI
35115827,-51
35126473,-51
35126800,-55
35159171,-54
35187929,-54
35188400,-54
35240012,-55
35241818,-55
35245864,-55
35271044,-54
35300565,-55
35323071,-55
35332633,-55
35350536,-53
35350822,-55
35360431,-55
35360621,-55
35360812,-55
35361348,-54
35362107,-54
35374981,-55
35396673,-54
35421601,-52
35422072,-56
35450735,-55
35452798,-56
35480006,-56
35480798,-55
35507976,-52
35508196,-54
35508372,-54
35508704,-55
35514221,-55
35529692,-53
35530022,-56
35568765,-55
35570880,-55
35571156,-55
35573832,-55
35574442,-55
35604561,-55
35610437,-51
35627888,-54
35634087,-52
35634359,-55
35651031,-56
35654189,-55
35673726,-61
35682458,-60
35692553,-62
35694105,-60
35714282,-55
35715958,-55
35752778,-55
35754493,-55
35754879,-54
35775585,-54
35777409,-55
35777768,-56
35780496,-55
35782670,-52
35803748,-52
35810920,-55
35840004,-55
35843780,-52
35843882,-55
35850059,-54
35875776,-55
35886720,-55
35887343,-55
35904469,-55
35904838,-56
35947403,-52
35947766,-55
35960008,-53
35963066,-55
35963810,-55
35966646,-55
36008824,-55
36009189,-54
36027572,-53
36035109,-55
36050207,-55
36069067,-55
36069605,-52
36069948,-55
36081664,-55
36081766,-56
36089538,-52
36099177,-55
36108040,-55
36121289,-55
36129277,-55
36151352,-52
36157268,-55
36157972,-54
36158708,-52
36171075,-55
36171316,-54
36187137,-55
36189556,-55
36200002,-55
36200705,-52
36201021,-55
36240746,-53
36241111,-53
36249372,-55
36249736,-55
36250012,-54
36250382,-55
36283197,-55
36285394,-52
36292585,-55
36314886,-55
36333004,-52
36339866,-52
36351013,-55
36369799,-55
36371981,-54
36385441,-55
36393057,-55
36410456,-55
36410911,-55
36434305,-55
36434670,-54
36441654,-56
36442079,-55
36494722,-55
36495096,-56
36504202,-55
36513332,-55
36514817,-55
36516151,-55
36516386,-55
36531354,-54
36534433,-55
36550434,-52
36550851,-55
36561760,-53
36578010,-55
36588073,-55
36588406,-55
36588632,-54
36588834,-54
36589375,-54
36618570,-54
36620970,-62
36677424,-55
36683669,-52
36708126,-55
36708387,-55
36708478,-55
36708875,-55
36739389,-52
36739997,-55
36740581,-51
36740934,-55
36742059,-55
36781048,-55
36786871,-52
36787977,-55
36789093,-55
36820282,-55
36832830,-52
36833234,-55
36869877,-52
36890922,-55
36909362,-52
36910462,-54
36911190,-52
36911325,-54
36911460,-54
36914020,-51
36919992,-55
36920517,-55
36932048,-55
36941977,-62
36980527,-54
36980890,-55
36989936,-54
36999568,-52
36999846,-55
37031630,-55
37043539,-55
37050951,-51
37051324,-55
37100560,-52
37100747,-54
37100883,-54
37101368,-54
37102171,-52
37102925,-53
37108294,-54
37130754,-55
37155461,-55
37156187,-54
37161694,-51
37162270,-54
37162650,-54
37177895,-54
37183293,-55
37220554,-51
37220902,-55
37275753,-55
37276484,-55
37277208,-54
37277554,-55
37281570,-54
37308144,-55
37308409,-55
37339973,-54
37340745,-53
37341110,-55
37363723,-55
37371202,-55
37409019,-55
37430865,-55
37460817,-55
37468625,-54
37468878,-54
37468976,-55
37491210,-54
37519982,-52
37521004,-55
37544976,-55
37551412,-55
37580468,-55
37585128,-61
37610906,-55
37653765,-51
37671398,-55
37689265,-55
37741830,-54
37766703,-54
37793119,-51
37793445,-55
37820456,-55
37820867,-54
37843469,-52
37854189,-54
37880105,-54
37880738,-51
37881690,-52
37892386,-53
37893984,-52
37895089,-54
37896205,-54
37903523,-61
37910840,-55
37914323,-55
37940457,-54
37940858,-55
37951963,-52
37952572,-54
37970674,-52
37974308,-54
37978986,-55
37999676,-52
38010024,-55
38031288,-54
38031611,-54
38060531,-54
38110773,-52
38119976,-51
38120702,-54
38121255,-55
38138800,-55
38154191,-55
38154481,-54
38154620,-54
38155105,-52
38162407,-54
38162908,-53
38182899,-54
38217186,-52
38222743,-61
38239974,-61
38240636,-61
38240934,-61
38265901,-54
38270895,-54
38272690,-51
38273408,-55
38274137,-54
38274723,-55
38284718,-55
38284853,-54
38285091,-55
38309711,-51
38331332,-54
38343600,-55
38345397,-54
38345744,-54
38359974,-54
38360624,-54
38360921,-54
38373372,-54
38400485,-54
38401207,-54
38401936,-54
38402274,-54
38407658,-54
38408199,-52
38441833,-54
38442579,-54
38443691,-51
38443992,-52
38465701,-54
38471118,-54
38493587,-54
38493733,-53
38499996,-55
38507780,-54
38508000,-54
38529844,-54
38530228,-55
38539970,-52
38540519,-55
38572109,-52
38579583,-52
38592133,-54
38646976,-52
38647202,-51
38654224,-55
38655677,-55
38656016,-55
38661537,-54
38663360,-54
38665693,-55
38666105,-54
38708195,-54
38716502,-52
38735625,-52
38750882,-52
38751263,-54
38775589,-49
38775776,-47
38780609,-54
38789947,-55
38797650,-51
38804892,-55
38836140,-51
38874174,-55
38874592,-55
38915593,-54
38930973,-55
38960443,-55
38960789,-54
38969977,-52
38983880,-55
38984023,-53
39020635,-54
39079961,-55
39086732,-52
39087054,-54
39099342,-51
39099474,-51
39099613,-54
39100099,-52
39109333,-52
39110096,-53
39114782,-54
39115666,-54
39116465,-54
39117271,-53
39140346,-54
39141787,-55
39149882,-52
39156575,-55
39157293,-54
39158015,-54
39158273,-54
39201368,-54
39202016,-54
39217407,-52
39230902,-55
39253131,-54
39261727,-55
39267911,-53
39268694,-55
39269384,-54
39270231,-55
39271336,-54
39272080,-53
39272435,-55
39279343,-51
39283032,-54
39283760,-54
39284489,-53
39285584,-55
39291767,-51
39314419,-54
39320788,-55
39335069,-54
39342884,-55
39373443,-51
39381100,-55
39406326,-54
39411149,-54
39411519,-51
39440456,-52
39440872,-54
39458649,-51
39470888,-53
39471132,-54
39498646,-52
39501426,-61
39501632,-61
39509822,-60
39525978,-54
39548901,-54
39549650,-54
39550760,-52
39551628,-53
39615937,-54
39624664,-54
39646883,-54
39650802,-54
39664241,-54
39718339,-55
39726459,-55
39747457,-54
39764940,-51
39771172,-55
