timestamp,monitor_mac,distance,rssi
1726582941.8093576,24a1602ccfab,1,-64.0
1726582941.8123465,a4cf12fdaea9,1,-68.0
1726582941.8133502,d8bfc0117c7d,1,-83.0
1726582941.8608823,a4cf12fdaea9,1,-67.0
1726582941.8617213,24a1602ccfab,1,-60.0
1726582941.862745,d8bfc0117c7d,1,-80.0
1726582941.9662657,24a1602ccfab,1,-63.0
1726582941.9703298,a4cf12fdaea9,1,-73.0
1726582941.9733284,d8bfc0117c7d,1,-84.0
1726582942.0108461,24a1602ccfab,1,-61.0
1726582942.014843,a4cf12fdaea9,1,-67.0
1726582942.1312156,a4cf12fdaea9,1,-67.0
1726582942.1342177,d8bfc0117c7d,1,-81.0
1726582942.137487,a4cf12fdaea9,1,-67.0
1726582942.1401918,24a1602ccfab,1,-63.0
1726582942.142179,d8bfc0117c7d,1,-81.0
1726582942.14418,a4cf12fdaea9,1,-67.0
1726582942.1461673,d8bfc0117c7d,1,-81.0
1726582942.1697943,d8bfc0117c7d,1,-80.0
1726582942.1708236,24a1602ccfab,1,-61.0
1726582942.317369,d8bfc0117c7d,1,-80.0
1726582942.3188736,a4cf12fdaea9,1,-68.0
1726582942.319885,24a1602ccfab,1,-62.0
1726582942.412914,a4cf12fdaea9,1,-73.0
1726582942.4159107,24a1602ccfab,1,-61.0
1726582942.4659064,a4cf12fdaea9,1,-67.0
1726582942.468892,24a1602ccfab,1,-62.0
1726582942.4709542,d8bfc0117c7d,1,-79.0
1726582942.5812855,24a1602ccfab,1,-68.0
1726582942.5818594,a4cf12fdaea9,1,-75.0
1726582942.5828695,d8bfc0117c7d,1,-86.0
1726582942.5838704,24a1602ccfab,1,-64.0
1726582942.584871,a4cf12fdaea9,1,-68.0
1726582942.618529,a4cf12fdaea9,1,-66.0
1726582942.619556,24a1602ccfab,1,-61.0
1726582942.6205552,d8bfc0117c7d,1,-78.0
1726582942.7229538,d8bfc0117c7d,1,-84.0
1726582942.7269542,24a1602ccfab,1,-67.0
1726582942.732955,a4cf12fdaea9,1,-73.0
1726582942.7672315,24a1602ccfab,1,-63.0
1726582942.773217,a4cf12fdaea9,1,-66.0
1726582942.868774,24a1602ccfab,1,-69.0
1726582942.8727746,a4cf12fdaea9,1,-80.0
1726582942.878777,d8bfc0117c7d,1,-86.0
1726582942.8817735,d8bfc0117c7d,1,-77.0
1726582942.8837745,a4cf12fdaea9,1,-70.0
1726582942.8847742,24a1602ccfab,1,-59.0
1726582942.9166634,24a1602ccfab,1,-59.0
1726582942.9246626,d8bfc0117c7d,1,-78.0
1726582943.0156817,a4cf12fdaea9,1,-76.0
1726582943.0182528,24a1602ccfab,1,-70.0
1726582943.0677197,a4cf12fdaea9,1,-65.0
1726582943.0766652,d8bfc0117c7d,1,-77.0
1726582943.0801547,24a1602ccfab,1,-62.0
1726582943.1238742,a4cf12fdaea9,1,-80.0
1726582943.1364183,24a1602ccfab,1,-71.0
1726582943.2070103,24a1602ccfab,1,-55.0
1726582943.214012,24a1602ccfab,1,-55.0
1726582943.2160275,d8bfc0117c7d,1,-70.0
1726582943.218009,a4cf12fdaea9,1,-60.0
1726582943.2290106,d8bfc0117c7d,1,-71.0
1726582943.2679195,24a1602ccfab,1,-56.0
1726582943.2755141,24a1602ccfab,1,-58.0
1726582943.3007305,24a1602ccfab,1,-60.0
1726582943.31039,a4cf12fdaea9,1,-67.0
1726582943.7276258,a4cf12fdaea9,1,-68.0
1726582943.739781,24a1602ccfab,1,-60.0
1726582943.7409985,d8bfc0117c7d,1,-76.0
1726582943.7763183,24a1602ccfab,1,-60.0
1726582943.784078,a4cf12fdaea9,1,-67.0
1726582943.7860794,24a1602ccfab,1,-60.0
1726582943.8054402,a4cf12fdaea9,1,-68.0
1726582943.808443,24a1602ccfab,1,-56.0
1726582943.8104396,d8bfc0117c7d,1,-75.0
1726582943.8114393,24a1602ccfab,1,-56.0
1726582943.8124385,a4cf12fdaea9,1,-66.0
1726582943.814438,d8bfc0117c7d,1,-79.0
1726582943.8384109,a4cf12fdaea9,1,-69.0
1726582943.846426,d8bfc0117c7d,1,-75.0
1726582943.849757,24a1602ccfab,1,-56.0
1726582943.851765,d8bfc0117c7d,1,-79.0
1726582943.881803,24a1602ccfab,1,-59.0
1726582943.8897798,d8bfc0117c7d,1,-75.0
1726582943.8917754,24a1602ccfab,1,-56.0
1726582943.9009452,a4cf12fdaea9,1,-68.0
1726582943.9019773,d8bfc0117c7d,1,-75.0
1726582943.9029481,a4cf12fdaea9,1,-67.0
1726582943.9039464,d8bfc0117c7d,1,-80.0
1726582943.9079447,d8bfc0117c7d,1,-75.0
1726582943.9149702,24a1602ccfab,1,-60.0
1726582943.916545,a4cf12fdaea9,1,-68.0
