timestamp,monitor_mac,distance,rssi
1726955626.452613,d8bfc0117c7d,0.1,-40.0
1726955626.4558582,24a1602ccfab,0.1,-36.0
1726955626.5090442,24a1602ccfab,0.1,-37.0
1726955626.511047,a4cf12fdaea9,0.1,-34.0
1726955626.5334363,a4cf12fdaea9,0.1,-34.0
1726955626.5344326,24a1602ccfab,0.1,-36.0
1726955626.5354285,a4cf12fdaea9,0.1,-33.0
1726955626.5364287,d8bfc0117c7d,0.1,-40.0
1726955626.5364287,a4cf12fdaea9,0.1,-36.0
1726955626.5374312,24a1602ccfab,0.1,-37.0
1726955626.5381823,d8bfc0117c7d,0.1,-41.0
1726955626.539039,24a1602ccfab,0.1,-38.0
1726955626.5553179,a4cf12fdaea9,0.1,-32.0
1726955626.5563016,d8bfc0117c7d,0.1,-41.0
1726955626.5573015,24a1602ccfab,0.1,-37.0
1726955626.6008165,d8bfc0117c7d,0.1,-42.0
1726955626.6028433,24a1602ccfab,0.1,-38.0
1726955626.6028433,a4cf12fdaea9,0.1,-33.0
1726955626.6038637,24a1602ccfab,0.1,-32.0
1726955626.605815,d8bfc0117c7d,0.1,-43.0
1726955626.6068156,24a1602ccfab,0.1,-38.0
1726955626.607813,d8bfc0117c7d,0.1,-41.0
1726955626.6088119,d8bfc0117c7d,0.1,-41.0
1726955626.659075,d8bfc0117c7d,0.1,-41.0
1726955626.6616185,a4cf12fdaea9,0.1,-28.0
1726955626.6636112,24a1602ccfab,0.1,-37.0
1726955626.664608,d8bfc0117c7d,0.1,-37.0
1726955626.6666102,24a1602ccfab,0.1,-41.0
1726955626.6676142,a4cf12fdaea9,0.1,-38.0
1726955627.0633354,a4cf12fdaea9,0.1,-29.0
1726955627.0743966,d8bfc0117c7d,0.1,-41.0
1726955627.0799563,24a1602ccfab,0.1,-38.0
1726955627.0988448,a4cf12fdaea9,0.1,-34.0
1726955627.1007073,24a1602ccfab,0.1,-37.0
1726955627.1028259,d8bfc0117c7d,0.1,-40.0
1726955627.1038258,a4cf12fdaea9,0.1,-28.0
1726955627.1048284,d8bfc0117c7d,0.1,-41.0
1726955627.106825,24a1602ccfab,0.1,-33.0
1726955627.108827,a4cf12fdaea9,0.1,-28.0
1726955627.1118324,d8bfc0117c7d,0.1,-43.0
1726955627.1128247,d8bfc0117c7d,0.1,-43.0
1726955627.1138248,24a1602ccfab,0.1,-31.0
1726955627.1148257,24a1602ccfab,0.1,-33.0
1726955627.1168253,a4cf12fdaea9,0.1,-33.0
1726955627.1178298,d8bfc0117c7d,0.1,-40.0
1726955627.1198244,24a1602ccfab,0.1,-39.0
1726955627.1557188,a4cf12fdaea9,0.1,-34.0
1726955627.158527,d8bfc0117c7d,0.1,-41.0
1726955627.161213,24a1602ccfab,0.1,-35.0
1726955627.2094529,24a1602ccfab,0.1,-36.0
1726955627.2114615,d8bfc0117c7d,0.1,-40.0
1726955627.213054,a4cf12fdaea9,0.1,-33.0
1726955627.6411278,24a1602ccfab,0.1,-37.0
1726955627.6427138,a4cf12fdaea9,0.1,-28.0
1726955627.6447122,d8bfc0117c7d,0.1,-40.0
1726955627.6792052,24a1602ccfab,0.1,-37.0
1726955627.700819,a4cf12fdaea9,0.1,-32.0
1726955627.7033617,24a1602ccfab,0.1,-38.0
1726955627.7073588,d8bfc0117c7d,0.1,-40.0
1726955627.7083566,24a1602ccfab,0.1,-38.0
1726955627.710358,d8bfc0117c7d,0.1,-35.0
1726955627.7119741,a4cf12fdaea9,0.1,-32.0
1726955627.7139726,a4cf12fdaea9,0.1,-34.0
1726955627.726866,24a1602ccfab,0.1,-39.0
1726955627.7299318,d8bfc0117c7d,0.1,-42.0
1726955627.7308738,24a1602ccfab,0.1,-39.0
1726955627.7328217,a4cf12fdaea9,0.1,-33.0
1726955627.7520158,24a1602ccfab,0.1,-32.0
1726955627.7710907,a4cf12fdaea9,0.1,-31.0
1726955627.772935,d8bfc0117c7d,0.1,-41.0
1726955627.774938,24a1602ccfab,0.1,-38.0
1726955627.8035228,a4cf12fdaea9,0.1,-33.0
1726955627.805531,d8bfc0117c7d,0.1,-43.0
1726955627.8082466,a4cf12fdaea9,0.1,-28.0
1726955627.8102574,d8bfc0117c7d,0.1,-36.0
1726955627.81125,24a1602ccfab,0.1,-31.0
1726955627.8128932,a4cf12fdaea9,0.1,-28.0
1726955627.8130944,24a1602ccfab,0.1,-38.0
1726955627.8140938,a4cf12fdaea9,0.1,-35.0
1726955627.829434,d8bfc0117c7d,0.1,-43.0
1726955627.8314278,a4cf12fdaea9,0.1,-33.0
1726955627.8324277,24a1602ccfab,0.1,-36.0
1726955627.8729014,24a1602ccfab,0.1,-37.0
1726955627.8758388,a4cf12fdaea9,0.1,-28.0
1726955627.8768377,d8bfc0117c7d,0.1,-42.0
1726955628.0759127,24a1602ccfab,0.1,-27.0
1726955628.0789316,a4cf12fdaea9,0.1,-26.0
1726955628.2517965,24a1602ccfab,0.1,-38.0
1726955628.2548337,a4cf12fdaea9,0.1,-28.0
1726955628.2568812,d8bfc0117c7d,0.1,-40.0
1726955628.258048,24a1602ccfab,0.1,-38.0
1726955628.2590623,d8bfc0117c7d,0.1,-40.0
1726955628.270877,24a1602ccfab,0.1,-35.0
1726955628.2728133,a4cf12fdaea9,0.1,-29.0
1726955628.2738101,d8bfc0117c7d,0.1,-42.0
1726955628.2758157,24a1602ccfab,0.1,-33.0
1726955628.278818,a4cf12fdaea9,0.1,-32.0
1726955628.2808144,a4cf12fdaea9,0.1,-29.0
1726955628.2818124,24a1602ccfab,0.1,-38.0
1726955628.3371487,24a1602ccfab,0.1,-36.0
1726955628.3415976,a4cf12fdaea9,0.1,-34.0
1726955628.342586,24a1602ccfab,0.1,-37.0
1726955628.3778377,a4cf12fdaea9,0.1,-29.0
1726955628.379717,d8bfc0117c7d,0.1,-43.0
1726955628.3817146,a4cf12fdaea9,0.1,-29.0
1726955628.382716,24a1602ccfab,0.1,-36.0
1726955628.4058986,d8bfc0117c7d,0.1,-42.0
1726955628.406841,24a1602ccfab,0.1,-35.0
1726955628.4088435,a4cf12fdaea9,0.1,-29.0
1726955628.4098425,24a1602ccfab,0.1,-35.0
1726955628.4108407,24a1602ccfab,0.1,-35.0
1726955628.4138787,a4cf12fdaea9,0.1,-34.0
1726955628.4148896,d8bfc0117c7d,0.1,-40.0
1726955628.4158797,24a1602ccfab,0.1,-35.0
1726955628.418879,a4cf12fdaea9,0.1,-34.0
1726955628.4296536,24a1602ccfab,0.1,-31.0
1726955628.4315474,d8bfc0117c7d,0.1,-42.0
1726955628.4325464,a4cf12fdaea9,0.1,-27.0
1726955628.83966,d8bfc0117c7d,0.1,-42.0
1726955628.8416717,24a1602ccfab,0.1,-35.0
1726955628.8435893,a4cf12fdaea9,0.1,-30.0
1726955628.875572,a4cf12fdaea9,0.1,-33.0
1726955628.8783426,d8bfc0117c7d,0.1,-41.0
1726955628.881341,24a1602ccfab,0.1,-38.0
1726955628.8823402,d8bfc0117c7d,0.1,-41.0
1726955628.9072487,a4cf12fdaea9,0.1,-32.0
1726955628.9092193,24a1602ccfab,0.1,-34.0
1726955628.9408128,d8bfc0117c7d,0.1,-42.0
1726955628.9434628,a4cf12fdaea9,0.1,-34.0
1726955628.9444833,24a1602ccfab,0.1,-35.0
1726955629.0103245,24a1602ccfab,0.1,-37.0
