timestamp,monitor_mac,distance,rssi
1726587549.930465,a4cf12fdaea9,1,-54.0
1726587549.9344676,d8bfc0117c7d,1,-55.0
1726587549.9374933,a4cf12fdaea9,1,-54.0
1726587549.9395885,24a1602ccfab,1,-49.0
1726587550.0155373,24a1602ccfab,1,-48.0
1726587550.0165007,d8bfc0117c7d,1,-55.0
1726587550.017528,a4cf12fdaea9,1,-51.0
1726587550.017528,a4cf12fdaea9,1,-53.0
1726587550.0185,d8bfc0117c7d,1,-52.0
1726587550.0195153,24a1602ccfab,1,-49.0
1726587550.0205033,d8bfc0117c7d,1,-54.0
1726587550.0214984,a4cf12fdaea9,1,-50.0
1726587550.0214984,24a1602ccfab,1,-49.0
1726587550.0224984,d8bfc0117c7d,1,-54.0
1726587550.0234985,24a1602ccfab,1,-48.0
1726587550.0829957,d8bfc0117c7d,1,-52.0
1726587550.085949,a4cf12fdaea9,1,-51.0
1726587550.086985,24a1602ccfab,1,-49.0
1726587550.4329317,d8bfc0117c7d,1,-53.0
1726587550.4339304,a4cf12fdaea9,1,-50.0
1726587550.4342566,24a1602ccfab,1,-50.0
1726587550.5513616,a4cf12fdaea9,1,-50.0
1726587550.5523596,d8bfc0117c7d,1,-55.0
1726587550.5533628,d8bfc0117c7d,1,-49.0
1726587550.554362,24a1602ccfab,1,-49.0
1726587550.555648,a4cf12fdaea9,1,-50.0
1726587550.5576594,d8bfc0117c7d,1,-49.0
1726587550.558662,a4cf12fdaea9,1,-49.0
1726587550.5596602,d8bfc0117c7d,1,-49.0
1726587550.5606601,a4cf12fdaea9,1,-49.0
1726587550.5616593,24a1602ccfab,1,-42.0
1726587550.5626638,d8bfc0117c7d,1,-47.0
1726587550.563663,d8bfc0117c7d,1,-56.0
1726587550.5646684,a4cf12fdaea9,1,-51.0
1726587550.5656629,d8bfc0117c7d,1,-56.0
1726587550.5666623,a4cf12fdaea9,1,-51.0
1726587550.5686588,d8bfc0117c7d,1,-56.0
1726587550.5696595,24a1602ccfab,1,-52.0
1726587550.570663,d8bfc0117c7d,1,-52.0
1726587550.57266,a4cf12fdaea9,1,-50.0
1726587550.5776594,24a1602ccfab,1,-50.0
1726587550.6003425,d8bfc0117c7d,1,-55.0
1726587550.603337,24a1602ccfab,1,-52.0
1726587550.6123374,a4cf12fdaea9,1,-51.0
1726587550.6525939,d8bfc0117c7d,1,-56.0
1726587550.6634579,24a1602ccfab,1,-56.0
1726587550.726722,d8bfc0117c7d,1,-55.0
1726587550.7387428,24a1602ccfab,1,-60.0
1726587550.7407172,a4cf12fdaea9,1,-51.0
