timestamp,monitor_mac,distance,rssi
1726586313.290761,24a1602ccfab,1.0,-58.0
1726586313.2927563,a4cf12fdaea9,1.0,-54.0
1726586313.2941947,d8bfc0117c7d,1.0,-57.0
1726586313.2961786,a4cf12fdaea9,1.0,-54.0
1726586313.2971494,d8bfc0117c7d,1.0,-57.0
1726586313.299192,a4cf12fdaea9,1.0,-52.0
1726586313.3012106,24a1602ccfab,1.0,-57.0
1726586313.3021948,a4cf12fdaea9,1.0,-50.0
1726586313.3041925,24a1602ccfab,1.0,-58.0
1726586313.3051462,a4cf12fdaea9,1.0,-51.0
1726586313.3071856,d8bfc0117c7d,1.0,-53.0
1726586313.3081849,24a1602ccfab,1.0,-58.0
1726586313.310192,24a1602ccfab,1.0,-55.0
1726586313.311226,24a1602ccfab,1.0,-55.0
1726586313.3122432,a4cf12fdaea9,1.0,-51.0
1726586313.313242,d8bfc0117c7d,1.0,-63.0
1726586313.3142374,a4cf12fdaea9,1.0,-51.0
1726586313.315242,d8bfc0117c7d,1.0,-63.0
1726586313.3162417,24a1602ccfab,1.0,-55.0
1726586313.3172495,a4cf12fdaea9,1.0,-50.0
1726586313.3182423,a4cf12fdaea9,1.0,-50.0
1726586313.319242,24a1602ccfab,1.0,-58.0
1726586313.3202395,a4cf12fdaea9,1.0,-55.0
1726586313.3212461,d8bfc0117c7d,1.0,-55.0
1726586313.3222368,24a1602ccfab,1.0,-58.0
1726586313.355597,d8bfc0117c7d,1.0,-51.0
1726586313.3576183,24a1602ccfab,1.0,-53.0
1726586313.3582578,a4cf12fdaea9,1.0,-50.0
1726586313.3632865,24a1602ccfab,1.0,-58.0
1726586313.3642793,a4cf12fdaea9,1.0,-55.0
1726586313.3652794,d8bfc0117c7d,1.0,-57.0
1726586313.4362183,a4cf12fdaea9,1.0,-54.0
1726586313.4381876,d8bfc0117c7d,1.0,-56.0
1726586313.4381876,24a1602ccfab,1.0,-58.0
1726586313.4392464,d8bfc0117c7d,1.0,-56.0
1726586313.4401965,d8bfc0117c7d,1.0,-56.0
1726586313.4411905,a4cf12fdaea9,1.0,-54.0
1726586313.442224,d8bfc0117c7d,1.0,-56.0
1726586313.4441895,a4cf12fdaea9,1.0,-54.0
1726586313.4451885,24a1602ccfab,1.0,-58.0
1726586313.4476593,d8bfc0117c7d,1.0,-56.0
1726586313.4493442,24a1602ccfab,1.0,-55.0
1726586313.4600165,a4cf12fdaea9,1.0,-51.0
1726586313.462013,a4cf12fdaea9,1.0,-52.0
1726586313.463013,24a1602ccfab,1.0,-58.0
1726586313.4650342,d8bfc0117c7d,1.0,-54.0
1726586313.4850168,a4cf12fdaea9,1.0,-52.0
1726586313.8677945,d8bfc0117c7d,1.0,-57.0
1726586313.8821855,24a1602ccfab,1.0,-59.0
1726586313.889192,a4cf12fdaea9,1.0,-54.0
1726586313.898645,a4cf12fdaea9,1.0,-52.0
1726586313.9043446,24a1602ccfab,1.0,-59.0
1726586313.9113226,d8bfc0117c7d,1.0,-57.0
1726586313.928342,a4cf12fdaea9,1.0,-53.0
1726586313.9293392,24a1602ccfab,1.0,-59.0
1726586313.9313433,d8bfc0117c7d,1.0,-56.0
1726586313.9736314,a4cf12fdaea9,1.0,-53.0
1726586313.9766543,d8bfc0117c7d,1.0,-56.0
1726586313.9862034,24a1602ccfab,1.0,-59.0
1726586314.004601,d8bfc0117c7d,1.0,-57.0
1726586314.0074103,a4cf12fdaea9,1.0,-55.0
1726586314.0234318,d8bfc0117c7d,1.0,-57.0
1726586314.0348706,24a1602ccfab,1.0,-59.0
1726586314.054109,a4cf12fdaea9,1.0,-55.0
1726586314.0590842,24a1602ccfab,1.0,-59.0
1726586314.0610824,d8bfc0117c7d,1.0,-57.0
1726586314.0630834,a4cf12fdaea9,1.0,-54.0
1726586314.4552543,d8bfc0117c7d,1.0,-58.0
1726586314.466614,24a1602ccfab,1.0,-56.0
