timestamp,monitor_mac,distance,rssi
1726587959.105943,d8bfc0117c7d,1.0,-60.0
1726587959.107976,a4cf12fdaea9,1.0,-52.0
1726587959.1089382,d8bfc0117c7d,1.0,-60.0
1726587959.10985,24a1602ccfab,1.0,-50.0
1726587959.1377301,d8bfc0117c7d,1.0,-61.0
1726587959.138793,24a1602ccfab,1.0,-51.0
1726587959.1552672,a4cf12fdaea9,1.0,-54.0
1726587959.1566894,24a1602ccfab,1.0,-50.0
1726587959.1577063,a4cf12fdaea9,1.0,-54.0
1726587959.2254126,d8bfc0117c7d,1.0,-60.0
1726587959.2274165,a4cf12fdaea9,1.0,-51.0
1726587959.2284179,d8bfc0117c7d,1.0,-60.0
1726587959.2294137,24a1602ccfab,1.0,-50.0
1726587959.2304091,a4cf12fdaea9,1.0,-51.0
1726587959.2314079,d8bfc0117c7d,1.0,-61.0
1726587959.2314079,24a1602ccfab,1.0,-50.0
1726587959.2324085,24a1602ccfab,1.0,-49.0
1726587959.2334473,d8bfc0117c7d,1.0,-61.0
1726587959.2344067,24a1602ccfab,1.0,-49.0
1726587959.2354076,a4cf12fdaea9,1.0,-55.0
1726587959.2354076,a4cf12fdaea9,1.0,-55.0
1726587959.2364051,d8bfc0117c7d,1.0,-60.0
1726587959.2364051,24a1602ccfab,1.0,-42.0
1726587959.237406,d8bfc0117c7d,1.0,-61.0
1726587959.237406,24a1602ccfab,1.0,-50.0
1726587959.2384055,d8bfc0117c7d,1.0,-55.0
1726587959.2384055,24a1602ccfab,1.0,-60.0
1726587959.239438,a4cf12fdaea9,1.0,-53.0
1726587959.239438,a4cf12fdaea9,1.0,-49.0
1726587959.2600374,d8bfc0117c7d,1.0,-61.0
1726587959.2610376,24a1602ccfab,1.0,-49.0
1726587959.262037,d8bfc0117c7d,1.0,-61.0
1726587959.2630367,a4cf12fdaea9,1.0,-55.0
1726587959.2630367,a4cf12fdaea9,1.0,-55.0
1726587959.2640424,24a1602ccfab,1.0,-49.0
1726587959.2660468,d8bfc0117c7d,1.0,-59.0
1726587959.2670796,a4cf12fdaea9,1.0,-55.0
1726587959.26814,24a1602ccfab,1.0,-43.0
1726587959.2690542,a4cf12fdaea9,1.0,-55.0
1726587959.3096192,d8bfc0117c7d,1.0,-61.0
1726587959.3206208,24a1602ccfab,1.0,-49.0
1726587959.3266375,d8bfc0117c7d,1.0,-58.0
1726587959.3367922,24a1602ccfab,1.0,-42.0
1726587959.343995,d8bfc0117c7d,1.0,-60.0
1726587959.3549864,d8bfc0117c7d,1.0,-60.0
1726587959.3619845,a4cf12fdaea9,1.0,-53.0
1726587959.3749819,a4cf12fdaea9,1.0,-51.0
1726587959.3859887,24a1602ccfab,1.0,-51.0
1726587959.3890083,a4cf12fdaea9,1.0,-51.0
1726587959.3975952,24a1602ccfab,1.0,-48.0
1726587959.4077284,d8bfc0117c7d,1.0,-60.0
1726587959.4111726,a4cf12fdaea9,1.0,-54.0
1726587959.7025785,a4cf12fdaea9,1.0,-54.0
1726587959.706065,24a1602ccfab,1.0,-57.0
1726587959.7120664,d8bfc0117c7d,1.0,-60.0
1726587959.7140667,a4cf12fdaea9,1.0,-54.0
1726587959.7540643,d8bfc0117c7d,1.0,-60.0
1726587959.7570279,24a1602ccfab,1.0,-58.0
1726587959.763333,d8bfc0117c7d,1.0,-60.0
1726587959.765331,d8bfc0117c7d,1.0,-55.0
1726587959.7693393,24a1602ccfab,1.0,-58.0
1726587959.7703338,a4cf12fdaea9,1.0,-54.0
1726587959.77536,24a1602ccfab,1.0,-58.0
1726587959.7783365,a4cf12fdaea9,1.0,-52.0
1726587959.7793298,24a1602ccfab,1.0,-58.0
1726587959.7914312,a4cf12fdaea9,1.0,-49.0
1726587959.7951047,24a1602ccfab,1.0,-66.0
1726587959.806868,24a1602ccfab,1.0,-58.0
1726587959.8158581,a4cf12fdaea9,1.0,-55.0
1726587959.8229318,d8bfc0117c7d,1.0,-60.0
1726587959.8348525,24a1602ccfab,1.0,-57.0
1726587959.8375607,d8bfc0117c7d,1.0,-60.0
1726587959.8445616,a4cf12fdaea9,1.0,-54.0
1726587959.8535757,d8bfc0117c7d,1.0,-60.0
1726587959.8586025,a4cf12fdaea9,1.0,-54.0
1726587959.8695726,24a1602ccfab,1.0,-54.0
1726587959.8715746,a4cf12fdaea9,1.0,-54.0
1726587959.8796098,d8bfc0117c7d,1.0,-60.0
1726587959.8885841,24a1602ccfab,1.0,-55.0
1726587959.9005773,24a1602ccfab,1.0,-54.0
1726587959.903583,d8bfc0117c7d,1.0,-59.0
1726587959.9055722,d8bfc0117c7d,1.0,-58.0
1726587959.9125745,24a1602ccfab,1.0,-51.0
1726587959.9145718,a4cf12fdaea9,1.0,-54.0
1726587959.9206982,d8bfc0117c7d,1.0,-57.0
1726587959.9365728,d8bfc0117c7d,1.0,-58.0
1726587959.9395792,d8bfc0117c7d,1.0,-57.0
1726587959.9455748,24a1602ccfab,1.0,-50.0
1726587959.9465714,a4cf12fdaea9,1.0,-51.0
1726587959.9485765,24a1602ccfab,1.0,-50.0
1726587959.9505742,d8bfc0117c7d,1.0,-57.0
1726587959.9515738,24a1602ccfab,1.0,-49.0
1726587959.9586105,d8bfc0117c7d,1.0,-58.0
1726587959.962777,a4cf12fdaea9,1.0,-50.0
1726587959.964777,24a1602ccfab,1.0,-52.0
1726587959.965778,a4cf12fdaea9,1.0,-50.0
1726587959.967777,24a1602ccfab,1.0,-52.0
1726587959.9817762,d8bfc0117c7d,1.0,-50.0
1726587959.9837794,a4cf12fdaea9,1.0,-51.0
1726587959.9987836,24a1602ccfab,1.0,-42.0
1726587960.245692,24a1602ccfab,1.0,-45.0
1726587960.2615888,d8bfc0117c7d,1.0,-54.0
1726587960.2655823,a4cf12fdaea9,1.0,-50.0
1726587960.279592,d8bfc0117c7d,1.0,-55.0
1726587960.281585,24a1602ccfab,1.0,-43.0
1726587960.2888246,d8bfc0117c7d,1.0,-55.0
1726587960.3159199,d8bfc0117c7d,1.0,-58.0
1726587960.3265262,24a1602ccfab,1.0,-48.0
1726587960.3285387,d8bfc0117c7d,1.0,-58.0
1726587960.3395362,a4cf12fdaea9,1.0,-53.0
1726587960.366788,a4cf12fdaea9,1.0,-53.0
1726587960.3684008,24a1602ccfab,1.0,-51.0
1726587960.3711894,d8bfc0117c7d,1.0,-59.0
1726587960.3741834,a4cf12fdaea9,1.0,-53.0
1726587960.3944688,d8bfc0117c7d,1.0,-59.0
1726587960.4024522,24a1602ccfab,1.0,-53.0
1726587960.404224,a4cf12fdaea9,1.0,-54.0
1726587960.4527233,a4cf12fdaea9,1.0,-50.0
