target_mac,monitor_mac,rssi_0,n
20f094118214,483fda467e7a,-9.503878129072493,7.272307030925236
20f094118214,a0a3b3ff35c0,,
20f094118214,a4cf12fdaea9,-26.472627197823222,5.795314988232803
20f094118214,d8bfc0117c7d,129.20600340878212,19.626349699879114
20f094118214,f8b3b732fb6c,-22.92118398784923,5.605051205368899
20f094118214,f8b3b73303e8,-31.543739664469168,5.954959576360688
342eb61ec446,24a1602ccfab,25.205022500771054,9.670337312456283
342eb61ec446,483fda467e7a,6.507793407561686,9.01475524501512
342eb61ec446,a0a3b3ff35c0,-19.311004299017423,5.327392392309235
342eb61ec446,a0a3b3ff66b4,-5.024244626077125,6.4353984695458
342eb61ec446,a4cf12fdaea9,-18.86731577480642,7.0755970046118595
342eb61ec446,d8bfc0117c7d,28.683135536153575,9.978433655945333
342eb61ec446,f8b3b732fb6c,-23.56957400207699,5.1761692375160555
d81c79de34e1,24a1602ccfab,82.87432557064989,15.064220768078341
d81c79de34e1,483fda467e7a,14.201493529985294,9.741047785321019
d81c79de34e1,a0a3b3ff35c0,-36.50710392561795,3.101877913959553
d81c79de34e1,a0a3b3ff66b4,-15.516275863083656,5.136196918251204
d81c79de34e1,a4cf12fdaea9,-25.217475656165785,5.925417544979682
d81c79de34e1,d8bfc0117c7d,31.829505227291452,10.076575741430824
d81c79de34e1,f8b3b732fb6c,-11.525608249983247,7.38792324433987
