target_mac,monitor_mac,rssi_0,n
20f094118214,08a6f7a1e5c8,-46.48824317050553,2.914109013561241
20f094118214,24a1602ccfab,-44.19618245126448,2.9987483177153327
20f094118214,483fda467e7a,-47.123330111763146,2.935286079199982
20f094118214,a0a3b3ff35c0,-49.003914191321115,1.870135505442689
20f094118214,a0a3b3ff66b4,-57.520579284089855,1.1863217738918754
20f094118214,a4cf12fdaea9,-47.39910849368651,2.814001340782878
20f094118214,d8bfc0117c7d,-55.73789363767385,1.4071072152225956
20f094118214,f8b3b732fb6c,-44.57354487010578,3.0770044044113383
20f094118214,f8b3b73303e8,-55.5751971693594,2.5559422209505325
20f094118214,f8b3b734347c,-53.791912369878446,1.3830965416245005
342eb61ec446,08a6f7a1e5c8,-42.58892559006003,3.1260390474342437
342eb61ec446,24a1602ccfab,-45.849892392300774,2.882284766344808
342eb61ec446,483fda467e7a,-49.138748651867814,2.5514633965959215
342eb61ec446,a0a3b3ff35c0,-51.37185847741083,2.3533056566080908
342eb61ec446,a0a3b3ff66b4,-48.82225039904072,2.3432160856044715
342eb61ec446,a4cf12fdaea9,-44.58269188441272,3.3383875973516193
342eb61ec446,d8bfc0117c7d,-40.54890341465015,3.2456223317493813
342eb61ec446,f8b3b732fb6c,-57.095470996663,1.7005979490810461
342eb61ec446,f8b3b734347c,-55.58394435394005,1.07202651669585
d81c79de34e1,08a6f7a1e5c8,-50.41259871420916,2.407241392656837
d81c79de34e1,24a1602ccfab,-40.95452985401997,3.188235279436216
d81c79de34e1,483fda467e7a,-49.0867440524861,2.3654742281150205
d81c79de34e1,a0a3b3ff35c0,-49.79663741185644,2.5291271142663243
d81c79de34e1,a0a3b3ff66b4,-46.88390878419246,2.5238445250894492
d81c79de34e1,a4cf12fdaea9,-47.880315228533185,2.6554869591818266
d81c79de34e1,d8bfc0117c7d,-40.06090085488424,3.0711041476629113
d81c79de34e1,f8b3b732fb6c,-58.82596853795966,1.9150324857981176
d81c79de34e1,f8b3b734347c,-46.379227881892795,2.311961948434909
