Timestamp,RSSI
2616120,-38
2632125,-39
2632601,-39
2640119,-38
2657292,-38
2658397,-38
2658721,-38
2678001,-37
2678150,-37
2679786,-38
2680639,-38
2681375,-38
2682496,-38
2700152,-38
2743228,-38
2753110,-38
2779469,-38
2780658,-37
2780807,-37
2780951,-37
2781065,-37
2799897,-38
2820061,-38
2823096,-38
2823449,-38
2872624,-38
2872974,-38
2884538,-38
2885070,-37
2885516,-38
2903557,-38
2904286,-37
2905015,-38
2905164,-37
2905300,-37
2905777,-36
2906541,-37
2907297,-36
2930572,-38
2940121,-38
2945209,-37
2945844,-38
2987560,-37
2987709,-37
2987845,-37
2988322,-37
2989088,-37
2989849,-36
2990613,-37
2992131,-38
2992713,-38
3025556,-38
3026289,-37
3045133,-37
3052135,-38
3066347,-37
3066599,-37
3099436,-37
3112135,-38
3112613,-37
3120121,-37
3126536,-38
3126881,-37
3154636,-38
3155352,-37
3156335,-37
3160104,-37
3172141,-37
3172644,-38
3172959,-37
3188925,-37
3190961,-37
3232136,-37
3232627,-37
3234094,-38
3235199,-38
3235952,-37
3239980,-38
3240618,-37
3240980,-37
3241497,-37
3252866,-38
3253229,-38
3274560,-38
3275287,-38
3276014,-38
3276568,-38
3276851,-38
3280187,-38
3299969,-38
3312589,-38
3312738,-37
3312875,-37
3313349,-36
3314466,-38
3315230,-37
3315987,-36
3333279,-38
3343909,-38
3391190,-38
3391532,-38
3401203,-38
3403752,-38
3404470,-38
3405202,-37
3406173,-37
3406483,-38
3412142,-38
3412703,-38
3413030,-38
3440122,-38
3440485,-38
3472619,-38
3472962,-38
3499404,-38
3500365,-38
3520308,-38
3536372,-38
3540069,-38
3563550,-38
3563970,-38
3587575,-40
3592143,-38
3592634,-38
3599972,-46
3600333,-46
3621593,-37
3621741,-37
3621878,-37
3622353,-37
3623120,-37
3623882,-37
3624639,-37
3636052,-38
3636200,-38
3636337,-37
3636810,-36
3637567,-37
3638322,-37
3642175,-36
3645119,-37
3646598,-38
3652145,-38
3652652,-38
3687177,-38
3687814,-38
3712699,-38
3713019,-38
3745014,-38
3748142,-38
3759330,-38
3781214,-38
3782319,-38
3783433,-38
3783762,-37
3825300,-38
3832152,-38
3832621,-38
3840138,-38
3862816,-38
3872062,-38
3882499,-38
3900176,-37
3900518,-37
3928998,-38
3932091,-38
3938111,-38
3946297,-38
3952916,-38
3960133,-38
3990667,-38
3992238,-38
4009736,-38
4012613,-38
4034711,-38
4035442,-37
4036538,-38
4036867,-38
4054249,-38
4054631,-38
4065750,-38
4072151,-38
4072626,-38
4080782,-38
4105241,-38
4115433,-38
4123341,-38
4140225,-37
4140612,-38
4160520,-38
4161246,-38
4162349,-38
4162497,-37
4162634,-37
4162755,-38
4171644,-38
4174664,-38
4181285,-38
4192632,-38
4192781,-37
4192924,-37
4193392,-36
4194158,-37
4194927,-36
4233970,-38
4239775,-38
4240138,-38
4253330,-38
4254089,-38
4281563,-38
4300256,-38
4326303,-38
4327053,-38
4327371,-38
4355406,-38
4360412,-38
4372158,-38
4372803,-38
4412863,-38
4413583,-38
4414318,-38
4414872,-37
4415205,-38
4424974,-38
4432159,-38
4432631,-38
4440130,-38
4473429,-38
4473577,-37
4473714,-37
4474191,-36
4474959,-39
4475718,-36
4476481,-37
4493239,-38
4537933,-38
4538647,-38
4539746,-38
4540059,-38
4552718,-40
4552864,-39
4553001,-38
4553478,-44
4554241,-39
4555005,-35
4561218,-38
4595267,-38
4596009,-38
4597120,-38
4606974,-38
4620149,-38
4654804,-38
4657264,-38
4657987,-38
4658719,-38
4662614,-38
4662703,-38
4671208,-38
4673037,-38
4723395,-38
4740453,-38
4744539,-38
4744908,-38
4785200,-38
4789204,-38
4789936,-38
4792168,-38
4792636,-38
4800328,-38
4806308,-38
4806680,-38
4835224,-38
4846045,-38
4852169,-38
4853172,-38
4912720,-38
4913095,-38
4928452,-38
4928862,-38
4962995,-38
4970558,-38
4971214,-38
4972169,-38
4972657,-38
4980288,-38
4988370,-38
4989238,-38
5013742,-38
5033849,-38
5052718,-38
5053239,-38
5092627,-38
5092949,-38
5115855,-38
5116403,-37
5116726,-37
5141104,-38
5145993,-38
5147104,-38
5148217,-37
5160399,-38
5181083,-38
5181445,-38
5197206,-38
5220191,-38
5240990,-38
5241353,-38
5254356,-38
5272780,-38
5293422,-38
5294515,-38
5295243,-38
5295651,-38
5321810,-38
5332160,-38
5332727,-38
5332949,-38
5367010,-38
5367374,-38
5371066,-38
5371294,-37
5371747,-38
5387975,-38
5400313,-38
5418348,-38
5419074,-38
5420170,-38
5420544,-38
5435367,-38
5435982,-37
5436363,-38
5441820,-38
5452636,-38
5452991,-38
5460234,-37
5460486,-37
5490172,-38
5495946,-38
5499819,-38
5520656,-37
5542916,-38
5544003,-38
5544731,-38
5545144,-38
5555851,-38
5556255,-38
5560319,-38
5580389,-37
5580695,-37
5612852,-38
5640162,-38
5663217,-38
5663943,-38
5664668,-38
5665053,-38
5678499,-38
5687941,-38
5699003,-38
5700116,-38
5700965,-38
5701709,-38
5702096,-38
5752164,-38
5752824,-37
5753087,-37
5761546,-38
5762519,-38
5789596,-38
5789954,-38
5812642,-38
5812965,-38
5818728,-38
5824959,-38
5855329,-38
5880146,-38
5885336,-38
5885712,-37
5914180,-38
5915860,-38
5916587,-38
5917688,-38
5918415,-38
5918669,-38
5930176,-38
5934272,-38
5934917,-37
5951847,-38
5952205,-38
5977174,-38
5978029,-38
5978829,-38
5979142,-38
5988437,-38
5994560,-38
6000288,-38
6012470,-38
6012832,-38
6035292,-38
6038459,-38
6039153,-38
6039876,-38
6040607,-38
6040911,-38
6072191,-38
6072939,-38
6112191,-38
6120485,-38
6135260,-38
6135628,-38
6156315,-43
6169240,-38
6169964,-38
6170688,-38
6208266,-38
6224189,-38
6235343,-38
6252984,-38
6254600,-38
6255341,-38
6256457,-38
6259308,-38
6292668,-38
6292983,-38
6312143,-38
6319122,-38
6352189,-38
6352812,-38
6359070,-38
6360079,-38
6377141,-38
6379143,-37
6379422,-37
6394516,-38
6404185,-38
6412683,-38
6420628,-38
6421720,-38
6422452,-38
6423099,-38
6444104,-38
6444462,-38
6458382,-38
6468096,-39
6472189,-38
6472701,-39
6506025,-37
6506174,-37
6506298,-38
6530411,-38
6532744,-38
6534839,-38
6535652,-38
6546790,-38
6548675,-38
6582600,-38
6592210,-38
6592820,-38
6608287,-38
6626184,-38
6651811,-38
6651964,-37
6652093,-37
6653060,-37
6653815,-37
6673541,-38
6673690,-38
6673826,-37
6674303,-36
6675061,-36
6684809,-38
6685744,-38
6706042,-38
6706404,-38
6712202,-38
6712419,-38
6713255,-38
6741654,-38
6745840,-38
6762345,-38
6780079,-38
6797884,-38
6798980,-38
6800073,-38
6800473,-38
6822419,-38
