Timestamp,RSSI
15677749,-53
15706574,-52
15710921,-54
15732148,-54
15732622,-53
15737569,-54
15761648,-53
15762742,-54
15763472,-53
15763868,-53
15777069,-57
15777204,-53
15777338,-53
15777827,-59
15778592,-60
15779346,-60
15791835,-56
15792649,-54
15797480,-52
15797614,-54
15797749,-53
15798238,-60
15798995,-60
15821274,-57
15821564,-57
15846310,-57
15847424,-57
15848165,-54
15848585,-54
15885321,-53
15888905,-53
15889274,-54
15895586,-57
15917876,-53
15952971,-57
15967667,-54
16010246,-57
16010968,-57
16012071,-61
16012404,-57
16016925,-60
16017060,-57
16017195,-57
16017683,-61
16018445,-60
16019202,-60
16032146,-57
16082789,-56
16082922,-53
16083060,-54
16083545,-60
16084299,-60
16085065,-60
16085826,-61
16103515,-57
16121469,-57
16121813,-53
16144989,-54
16152608,-53
16197661,-53
16212148,-54
16212738,-54
16262728,-54
16264870,-57
16265960,-53
16266692,-57
16267070,-54
16272141,-51
16283570,-54
16322469,-57
16324754,-50
16337468,-55
16343189,-53
16343741,-53
16344132,-53
16371031,-56
16394938,-56
16395660,-52
16396758,-56
16400995,-52
16408421,-53
16408780,-53
16433183,-51
16457666,-53
16469677,-56
16470048,-53
16491208,-52
16504560,-52
16517622,-52
16535958,-56
16536559,-52
16536828,-52
16555591,-56
16577696,-53
16578017,-53
16596727,-53
16613193,-52
16637619,-53
16668975,-56
16669720,-52
16670464,-52
16670845,-53
16692612,-52
16692928,-53
16718236,-52
16723100,-52
16723234,-52
16723380,-53
16752137,-51
16752805,-53
16753094,-53
16790263,-56
16790835,-53
16791231,-55
16791871,-52
16792592,-57
16793851,-57
16794443,-57
16812609,-53
16817710,-52
16818149,-53
16844421,-51
16844553,-52
16844692,-51
16845177,-57
16850897,-52
16851203,-52
16856859,-52
16877631,-52
16894266,-51
16894369,-53
16912931,-53
16913307,-52
16913453,-52
16913913,-52
16926267,-53
16937800,-52
16974674,-59
16975037,-56
16977774,-59
16977908,-55
16981783,-56
16992137,-52
16992634,-52
17021286,-56
17021421,-52
17021646,-55
17039302,-53
17041976,-52
17090458,-51
17090593,-52
17117963,-52
17140737,-56
17143498,-53
17143684,-50
17143956,-52
17154381,-56
17154516,-52
17156546,-53
17172607,-56
17172916,-52
17220313,-52
17220655,-52
17229726,-53
17229861,-52
17229996,-52
17230484,-58
17231246,-57
17232012,-57
17237551,-52
17266037,-55
17266759,-52
17267486,-53
17267831,-53
17274325,-53
17297838,-56
17334044,-56
17340421,-52
17352130,-51
17352870,-52
17353352,-53
17388464,-53
17390286,-51
17390847,-53
17401254,-55
17412877,-56
17423501,-53
17452056,-53
17466873,-56
17483476,-53
17514253,-55
17515709,-55
17516045,-52
17576442,-51
17576770,-52
17586301,-56
17597614,-53
17600925,-52
17603404,-53
17635212,-51
17637343,-53
17638071,-53
17639520,-53
17652616,-52
17652751,-52
17657843,-53
17661635,-56
17663286,-51
17663673,-52
17695668,-52
17717684,-53
17721793,-52
17723290,-53
17755284,-56
17758862,-56
17759964,-57
17768215,-52
17769317,-53
17770060,-53
17771177,-53
17822760,-52
17823012,-52
17830403,-56
17844076,-53
17844400,-53
17874667,-51
17878196,-52
17878920,-52
17879654,-53
17879788,-53
17879928,-52
17880417,-59
17892121,-53
17897749,-53
17902792,-53
17904045,-53
17932147,-59
17938078,-55
17957529,-53
17965200,-56
17965561,-53
17989665,-56
18005053,-56
18006140,-52
18006871,-54
18007593,-53
18012123,-52
18012611,-56
18012910,-53
18035028,-54
18035384,-53
18039611,-53
18040360,-53
18040964,-53
18063109,-56
18072831,-53
18126298,-51
18126606,-53
18131600,-56
18131735,-52
18131870,-52
18136575,-52
18137765,-57
18151386,-57
18151521,-52
18151656,-53
18152145,-58
18152906,-58
18153672,-58
18154161,-53
18155444,-53
18191616,-53
18191765,-51
18193070,-56
18193215,-55
18193416,-53
18212832,-53
18215430,-52
18215765,-53
18247497,-52
18255322,-57
18256415,-57
18257142,-57
18257774,-56
18293379,-51
18310191,-56
18310933,-52
18312606,-53
18317849,-53
18318162,-52
18336466,-52
18337106,-54
18351735,-56
18362136,-53
18372119,-52
18372737,-53
18403331,-52
18403703,-53
18432589,-53
18432908,-54
18460473,-52
18463568,-53
18477730,-53
18497511,-53
18515065,-53
18515798,-57
18516161,-53
18537768,-56
18554290,-53
18581982,-60
18586499,-60
18612112,-54
18612772,-53
18613186,-57
18643106,-53
18644206,-53
18644760,-53
18648371,-57
18648917,-53
18649309,-53
18672605,-53
18672909,-53
18723637,-53
18729779,-52
18730188,-53
18737442,-53
18771651,-53
18772555,-53
18773277,-53
18774375,-53
18797642,-53
18830903,-52
18838049,-53
18852110,-56
18852871,-53
18858645,-52
18859064,-53
18897790,-58
18898752,-56
18899853,-52
18900951,-53
18954213,-56
18961877,-52
18977845,-52
18978106,-53
19015032,-51
19015167,-53
19015306,-51
19026692,-56
19027787,-52
19028516,-56
19037652,-53
19070237,-52
19097801,-52
19098151,-52
19129587,-53
19135635,-52
19138681,-56
19148886,-52
19149618,-53
19152108,-52
19152680,-53
19158731,-56
19217648,-56
19217997,-55
19250888,-56
19251024,-52
19251159,-52
19251648,-57
19274351,-52
19277658,-53
19332197,-52
19332572,-52
19332715,-52
19376235,-53
19377236,-53
19377736,-52
19414428,-56
19415167,-52
19415910,-53
19416655,-53
19426213,-52
19426510,-52
19449144,-51
19463202,-52
19493408,-56
19512581,-56
19517490,-53
19522409,-51
19523771,-52
19524152,-52
19575357,-53
19581431,-56
19581668,-53
19636936,-51
19645289,-55
19645685,-53
19677787,-53
19697691,-52
19698051,-52
19706922,-52
19707285,-53
19732560,-52
19743823,-52
19744083,-55
19752669,-56
19752804,-52
19752942,-52
19753427,-56
19790231,-52
19790636,-52
19801070,-56
19812102,-55
19812689,-55
19821807,-53
19826927,-51
19870103,-55
19872098,-52
19872575,-52
19878528,-53
19886576,-56
19886936,-53
19904854,-56
19905949,-53
19906679,-53
19907002,-52
19924320,-51
19933041,-51
19962182,-56
19962293,-53
19962427,-50
19962562,-52
19963051,-50
19963812,-52
19964578,-51
19965332,-57
19968658,-56
19969413,-57
19970167,-57
19970921,-58
19971679,-57
19984953,-52
19994141,-52
20025662,-56
20026392,-53
20027119,-53
20027452,-52
20040012,-53
20047032,-53
20052101,-53
20081128,-53
20087962,-56
20113702,-51
20113929,-53
20114048,-52
20145640,-52
20147579,-53
20166226,-56
20166516,-52
20172097,-56
20172232,-55
20172371,-55
20172855,-58
20173621,-57
20177661,-56
20177941,-55
20203058,-51
20207592,-53
20215963,-53
20239316,-52
20240873,-53
20241722,-53
20271410,-56
20271798,-53
20280495,-51
20284571,-53
20292398,-53
20293263,-53
20328261,-51
20331318,-53
20352765,-53
20353079,-53
20396500,-52
20404537,-52
20405258,-51
20405393,-51
20405531,-52
20406016,-57
20406782,-58
20407536,-57
20417574,-52
20451353,-51
20472094,-53
20472582,-52
20477632,-52
20478272,-52
20478632,-52
20479626,-56
20480641,-55
20515297,-52
20516315,-52
20518174,-53
20518285,-52
20523177,-55
20526158,-53
20526881,-52
20528708,-51
20528846,-52
20528981,-52
20529466,-56
20530224,-58
20537474,-53
20561220,-51
20561545,-53
20585481,-51
20592837,-52
20636783,-51
20652601,-52
20654056,-53
20654779,-53
20657780,-53
