timestamp,monitor_mac,target_mac,rssi,anchor_position_x,anchor_position_y,target_position_x,target_position_y
1734005108.275564,483fda467e7a,20f094118214,-59.0,1461,241,1170.951612903226,601.425806451613
1734005108.2765646,483fda467e7a,20f094118214,-60.0,1461,241,1170.951612903226,601.425806451613
1734005108.2775626,a4cf12fdaea9,20f094118214,-60.0,861,580,1170.951612903226,601.425806451613
1734005108.2785625,f8b3b732fb6c,20f094118214,-63.0,1461,241,1170.951612903226,601.425806451613
1734005108.2795634,a4cf12fdaea9,483fda467e7a,-74.0,861,580,1170.951612903226,601.425806451613
1734005108.2805624,f8b3b732fb6c,20f094118214,-63.0,1461,241,1170.951612903226,601.425806451613
1734005108.2815623,a4cf12fdaea9,483fda467e7a,-69.0,861,580,1170.951612903226,601.425806451613
1734005108.2825623,a4cf12fdaea9,08a6f7a1e5c8,-62.0,861,580,1170.951612903226,601.425806451613
1734005108.2835634,f8b3b732fb6c,483fda467e7a,-17.0,1461,241,1170.951612903226,601.425806451613
1734005108.284562,f8b3b732fb6c,a4cf12fdaea9,-69.0,1461,241,1170.951612903226,601.425806451613
1734005108.2855625,a0a3b3ff35c0,a0a3b3ff66b4,-92.0,2048,884,1170.951612903226,601.425806451613
1734005108.2895627,d8bfc0117c7d,a0a3b3ff66b4,-33.0,107,884,1170.951612903226,601.425806451613
1734005108.2905629,f8b3b734347c,a4cf12fdaea9,-76.0,1047,884,1170.951612903226,601.425806451613
1734005108.2925656,f8b3b734347c,f8b3b732fb6c,-73.0,1047,884,1170.951612903226,601.425806451613
1734005108.2935627,f8b3b732fb6c,d8bfc0117c7d,-82.0,1461,241,1170.951612903226,601.425806451613
1734005108.2945623,f8b3b734347c,d8bfc0117c7d,-63.0,1047,884,1170.951612903226,601.425806451613
1734005108.2955627,f8b3b732fb6c,a4cf12fdaea9,-69.0,1461,241,1170.951612903226,601.425806451613
1734005108.2965624,f8b3b734347c,a4cf12fdaea9,-77.0,1047,884,1170.951612903226,601.425806451613
1734005108.2975624,d8bfc0117c7d,20f094118214,-77.0,107,884,1170.951612903226,601.425806451613
1734005108.2985628,f8b3b734347c,20f094118214,-65.0,1047,884,1170.951612903226,601.425806451613
1734005108.2995627,483fda467e7a,20f094118214,-60.0,1461,241,1170.951612903226,601.425806451613
1734005108.3005636,a4cf12fdaea9,20f094118214,-60.0,861,580,1170.951612903226,601.425806451613
