target_mac,target_position,distance_error_lst,distance_error_wcl_dist,distance_error_wcl_rssi,distance_error_fp
d81c79de34e1,"(432, 544)",11.288880186464693,108.03747763412876,118.50207528162167,68.11754546370561
342eb61ec446,"(432, 544)",12.565248777813263,101.15537148673626,93.52461289930075,141.7391971192161
20f094118214,"(435, 833)",25.778136854177273,196.84518382512218,225.92834868489226,69.63476143421474
342eb61ec446,"(663, 681)",26.9400427783204,120.41388416900386,114.12218071284448,14.142135623730951
d81c79de34e1,"(361, 335)",27.626009933178747,104.18213534537838,131.1321623944664,61.773780845922005
342eb61ec446,"(701, 544)",34.40355421215625,131.01370654079727,149.74777269784866,80.26207074328447
d81c79de34e1,"(181, 747)",45.60185184351249,99.03891476783807,117.04040237589675,135.14806694880988
d81c79de34e1,"(435, 833)",55.67834528952714,176.958342106494,220.9067334172185,40.607881008493905
20f094118214,"(361, 335)",59.88929686065789,215.29320600299525,126.76431875143068,45.34313619501854
20f094118214,"(663, 681)",69.5747535626272,51.19648246107303,82.79964613526158,55.94640292279746
342eb61ec446,"(181, 747)",69.80999607543995,67.99223022125514,108.08172562273113,43.18564576337837
20f094118214,"(179, 747)",71.89592220296048,69.74683153040799,99.27835597633464,73.00684899377592
342eb61ec446,"(361, 335)",74.36348760969847,96.75424722180806,126.18803251906093,42.20189569201838
d81c79de34e1,"(661, 682)",74.53822980469508,71.07457288629001,95.1012892883918,54.12947441089743
20f094118214,"(437, 682)",83.38964131943418,57.06660773077482,113.69196366033042,120.55289295574785
d81c79de34e1,"(212, 331)",88.65108403025414,11.351824284312517,134.95412643398475,59.20304046246274
d81c79de34e1,"(363, 188)",95.53796993613166,218.37087804508033,164.0575772183801,140.91841611372163
d81c79de34e1,"(250, 657)",100.26406317613595,32.7518114378501,68.01359589482273,203.16003544004417
20f094118214,"(171, 596)",101.0749225220799,96.78411014030605,57.81430831538168,89.20201791439474
20f094118214,"(250, 657)",103.59887242304343,62.90724287794806,35.06553058251397,99.04039579888602
342eb61ec446,"(582, 544)",103.9731547341161,17.548439381657342,34.18865787689491,41.23105625617661
342eb61ec446,"(663, 835)",104.33508450300882,55.87287169690449,52.40133048575083,215.11392330576837
342eb61ec446,"(171, 596)",111.23198808033902,73.86911862366333,61.83595859923372,230.24334952393303
d81c79de34e1,"(437, 682)",113.41665581938132,61.94311403802615,113.0986101139352,134.80726983364065
342eb61ec446,"(435, 833)",114.59313570103907,223.1685894020883,243.22229913250882,91.23595782365635
20f094118214,"(104, 819)",116.63635968208605,121.30458691307213,111.36002401170704,155.93909067324972
20f094118214,"(363, 188)",119.12538984558971,160.24196825223765,181.4556780860476,133.76471881628578
d81c79de34e1,"(663, 835)",119.85533525940335,56.89214370070163,53.86774183015592,68.76772498781678
d81c79de34e1,"(104, 819)",138.04273041630609,113.4329172273863,109.60830856659514,113.85077953180645
342eb61ec446,"(101, 657)",138.93971195821922,120.2155480194812,41.986781940535,166.37307474468338
342eb61ec446,"(212, 331)",139.9261598877358,29.73887516103812,96.89538954018091,98.71676655968832
20f094118214,"(212, 188)",146.29487999268966,194.8247270291129,122.56373746343999,213.243991709028
d81c79de34e1,"(171, 596)",147.5278567171127,119.14995278957956,85.87236755588562,136.2974687952788
20f094118214,"(582, 544)",149.1338542716341,35.905102424813485,42.27005581843042,153.11760186209813
20f094118214,"(432, 544)",155.77570352236415,65.45897373274425,67.70269824803967,86.05230967266364
342eb61ec446,"(363, 188)",157.82733404087938,183.60931788913845,208.96653885682477,93.23625904121208
342eb61ec446,"(104, 819)",163.73351294954549,137.99897659513633,111.49506004071658,152.04275714416653
d81c79de34e1,"(101, 657)",172.2640647802305,44.565354636026804,52.08419633309238,223.8861317723811
d81c79de34e1,"(582, 544)",178.11207392417205,72.22379216620921,52.96901149891922,126.53062870309307
20f094118214,"(104, 657)",181.97636869841733,80.2494676398173,38.06421129156067,17.029386365926403
d81c79de34e1,"(217, 188)",190.45514295061517,268.7434784974781,133.21673501743234,193.63109254456012
d81c79de34e1,"(179, 896)",205.3468650298266,210.67080424935057,215.1645289628828,44.40720662234904
20f094118214,"(250, 823)",206.6925766138878,184.89647018380188,206.2776413778213,74.32361670424818
342eb61ec446,"(217, 188)",214.85385376713722,316.89120550707275,214.48681790018534,200.3696583817021
342eb61ec446,"(437, 682)",218.0780834197711,70.05033447718385,84.90459361263197,173.18487231857176
20f094118214,"(212, 335)",229.68767885685264,156.68330103727806,66.78840810393893,36.796738985948195
20f094118214,"(701, 542)",243.0279718227156,151.30138333136642,156.5630318623205,20.615528128088304
d81c79de34e1,"(701, 544)",246.56596920605924,154.31235892944585,169.37263797791132,233.40308481251913
342eb61ec446,"(250, 823)",252.62304988894573,187.30414527887032,211.2042779492496,113.26517558367179
d81c79de34e1,"(250, 823)",256.0199080922809,198.3036724211308,213.0366246677067,123.64869590901475
342eb61ec446,"(249, 657)",260.63321619638873,6.086122312247438,66.53439748347905,122.3315167894194
20f094118214,"(663, 835)",274.82055379422303,113.82096527161599,136.51578342685872,84.581321815162
342eb61ec446,"(179, 896)",278.796774298341,253.1201172825513,262.53444093748806,74.24284477308234
20f094118214,"(179, 896)",281.9877585297233,214.89398570777882,222.04433961072638,121.45781160551181
