target_mac,monitor_mac,rssi_0,n
20f094118214,08a6f7a1e5c8,-51.57823371406135,2.6568584290492536
20f094118214,24a1602ccfab,-48.88364766699653,3.234348640096586
20f094118214,483fda467e7a,-45.421208325676744,3.0347766694298794
20f094118214,a0a3b3ff35c0,-48.4084038163791,3.855502665629454
20f094118214,a0a3b3ff66b4,-48.16828968290738,3.231205413680776
20f094118214,a4cf12fdaea9,-43.493744503750214,3.5468113898001477
20f094118214,d8bfc0117c7d,-43.12859854883292,3.3818996629856253
20f094118214,f8b3b732fb6c,-45.964210216956886,3.101934260646358
20f094118214,f8b3b73303e8,-49.7999208947754,3.1624311077852063
20f094118214,f8b3b734347c,-58.88674844399478,1.5721219329703737
342eb61ec446,08a6f7a1e5c8,-48.76211067454823,3.0169958328233992
342eb61ec446,24a1602ccfab,-42.38301172883735,4.278093025548546
342eb61ec446,483fda467e7a,-46.823932938420455,2.7635176488065207
342eb61ec446,a0a3b3ff35c0,-46.499134524199256,3.91915082627341
342eb61ec446,a0a3b3ff66b4,-49.123528114570604,2.8333253767851323
342eb61ec446,a4cf12fdaea9,-40.41547422602496,4.213848678129624
342eb61ec446,d8bfc0117c7d,-45.07244567400312,3.3531946134640656
342eb61ec446,f8b3b732fb6c,-43.63242181407063,2.7434575003725077
342eb61ec446,f8b3b73303e8,-42.442014254065015,3.6582875864375293
342eb61ec446,f8b3b734347c,-48.21235485846839,2.5783398387223917
d81c79de34e1,08a6f7a1e5c8,-50.3800186909495,2.7106068808883124
d81c79de34e1,24a1602ccfab,-40.82786650797803,4.175762477833418
d81c79de34e1,483fda467e7a,-35.60436781414923,3.939591707270965
d81c79de34e1,a0a3b3ff35c0,-51.4187203935813,3.419877867870861
d81c79de34e1,a0a3b3ff66b4,-49.3870140405989,2.7520525243087848
d81c79de34e1,a4cf12fdaea9,-36.47360620696737,4.3821752036363275
d81c79de34e1,d8bfc0117c7d,-41.601902951842156,3.2811963428083284
d81c79de34e1,f8b3b732fb6c,-40.346741777054056,3.4312090693934665
d81c79de34e1,f8b3b73303e8,-45.993216281885545,3.5881710114172276
d81c79de34e1,f8b3b734347c,-52.17061539985254,2.3575368448744802
