timestamp,estimation_twcl_rssi_9,estimation_fpl
1734005310.6604395,"(884.0, 45.0)","(1035.0, 110.0)"
1734005310.663439,"(1108.1294234682077, 121.13408492160957)","(850.0, 480.0)"
1734005310.6644392,"(1108.1294234682077, 121.13408492160957)","(850.0, 480.0)"
1734005310.6654396,"(1098.3192543617129, 243.5602948856553)","(890.0, 60.0)"
1734005310.6734395,"(1098.3192543617129, 243.5602948856553)","(890.0, 60.0)"
1734005310.6764398,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005310.679439,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005310.68144,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005310.6844392,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.6874402,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.6884398,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.6894395,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.6924393,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.695439,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.6974392,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.6984391,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.6994395,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.7004392,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.7034404,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.7084394,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.7124395,"(1081.171420851964, 242.27745264602257)","(945.0, 20.0)"
1734005310.7134397,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.7194512,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.7204406,"(1072.1716211375483, 242.30772108444455)","(940.0, 15.0)"
1734005310.7274406,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.7294395,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.7314394,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.735451,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.736442,"(1063.4883320866672, 242.33692502322953)","(930.0, 15.0)"
1734005310.7394392,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7494397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.75044,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7564394,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.76044,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7634394,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7644398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7654395,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.76644,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7714396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7754395,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7834396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7854486,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7874403,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7924397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7954395,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.7994404,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8004394,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.80144,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8024514,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8104398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8134398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8144395,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.824439,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.825439,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8264396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8284397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.82944,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8304403,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8334398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.835447,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.836442,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.83944,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8404405,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.84144,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8424397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8474398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8484397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8524606,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8614397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8664396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8674405,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8734396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.87444,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.87644,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8794394,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8824396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8834488,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8844397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8914397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.8944397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.89844,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9064412,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9104407,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9114408,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9124408,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9234405,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.926441,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.934442,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9354422,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9364605,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9404392,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.94444,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9454398,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9514403,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9564426,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9574397,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9584396,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9594395,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.966958,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.970958,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9719572,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9729576,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9744723,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9754698,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.977469,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.98799,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.9889896,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005310.99099,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.003991,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.00499,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0059917,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.009992,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.013993,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0149903,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0159924,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.016992,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.032971,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0339706,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.037971,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0389712,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0399709,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.040971,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.046985,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0479844,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0489843,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0579865,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0639837,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0649838,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0669858,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0699844,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0709844,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.071983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0729845,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.081983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0829854,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0889854,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0949836,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0959835,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.0979848,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.100984,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.115983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1199844,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1209834,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.126983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1279836,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.128983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.129984,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1439831,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.144984,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.147983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1489832,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.149983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1619833,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.165984,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.166983,"(1063.1444168603525, 255.72079553775154)","(935.0, 20.0)"
1734005311.1679842,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.1739843,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.1759832,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.182983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.183983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.188984,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.192984,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.1939833,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.208984,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2099829,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2109833,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.213984,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2159832,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2199843,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2209845,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.221983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2239833,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2369902,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.237983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2389834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.241984,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2429829,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2449834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2469842,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2479832,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2549832,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.259983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.260983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2679875,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2709842,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2719836,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2749834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2759836,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2829857,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.283986,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2869835,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.290983,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2939837,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2949865,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2979865,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2989843,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.2999833,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3019843,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3029845,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3079834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3089838,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3099835,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3149834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3299851,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3309834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3499837,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3509834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3539853,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.354985,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3609834,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3659832,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3689878,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3709853,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
1734005311.3729856,"(1080.4897438764085, 255.07901237984322)","(950.0, 25.0)"
